PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	002,Minerales No Metálicos,Fluorita,Toneladas,2293,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	018,Metales y Minerales Siderúrgicos,Coque,Toneladas,102259,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	018,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,131612,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	020,Minerales No Metálicos,Barita,Toneladas,750,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	020,Minerales No Metálicos,Fluorita,Toneladas,7182,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,2372,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,16,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	024,Minerales No Metálicos,Barita,Toneladas,128,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	05,	032,Metales y Minerales Siderúrgicos,Coque,Toneladas,7894,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	06,	005,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,80039,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	06,	007,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,196309,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	07,	074,Minerales No Metálicos,Azufre,Toneladas,26896,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,3,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,1,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	004,Metales Industriales No Ferrosos,Cobre,Toneladas,1,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	004,Metales Industriales No Ferrosos,Zinc,Toneladas,27,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,640,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,19,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,161,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,5019,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	017,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	017,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	020,Metales Preciosos,Oro,Kilogramos,0.5,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	020,Metales Preciosos,Plata,Kilogramos,14,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	030,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	030,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	032,Metales Preciosos,Oro,Kilogramos,0.4,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	032,Metales Preciosos,Plata,Kilogramos,280,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	032,Metales Industriales No Ferrosos,Plomo,Toneladas,43,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	032,Metales Industriales No Ferrosos,Cobre,Toneladas,4,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	032,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	044,Metales Preciosos,Oro,Kilogramos,0.5,Cifras Definitivas.
Producción minera por principales entidades federativas y municipios,Municipal,2002,Enero,	08,	044,Metales Preciosos,Plata,Kilogramos,136,Cifras Definitivas.
