i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2740,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	006,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	006,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	006,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	006,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,126381,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,223930,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,2170,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,7314,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,3970,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,59,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	023,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	030,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,5324,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,252524,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,34672,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,99867,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,224972,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,310893,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,23178,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2008,Enero,	08,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,3,Cifras Definitivas.
