i>>?#,,RAZON SOCIAL,,,,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA LICENCIA,CLASIFICACION O GIRO,,,,LINEAS AUTORIZADAS,,,,,,
15,,CEPEDA  MARES  JOSE  FRANCISCO  /  QUIMOBASICOS  S.A.  DE C.V.,,,,AV. RUIZ CORTINEZ 2333 PTE.,PEDRO LOZANO,MONTERREY,NO DISPONIBLE,NUEVO LEON,98AR03E,,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
16,,CHEMICAL PRODUCTS CORPORATION DE MEXICO  S. DE R. L. DE C. V,,,,KM 256-257 VIA FFCC MONTERREY MATAMOROS,ESTACION ALACRANES,REYNOSA,NO DISPONIBLE,TAMAULIPAS,95AR002E,,"FABRICACION DE PRODUCTOS QUIMICOS INORGANICOS , CARBONATO DE ESTRONCIO",,,,NO DISPONIBLE,,,,,,
17,,CHEM-TREND      COMERCIAL COMERCIAL S.A. DE C.V.,S.A.,DE,C.V./CHEM-TREND,DELFIN #2-C,PARQUE                   INDUSTRIAL CUAUTITLAN,CUATITLAN  IZCALLI,NO DISPONIBLE,MEXICO,2000AR01E,,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DE a| PRODUCTOS QUIMICOS BASICOS INORGANICOS FABRICA DEa|,,,,NO DISPONIBLE,,,,,,
18,,CLARIANT (MEXICO) S.A. DE C.V.,,,,BLVD. CPQ. CANGREJERA  AL CPQ  MORELOS KM. 3+300,ZONA INDUSTRIAL,COATZACOALCOS,96400,VERACRUZ,05FQBO300390012,31/10/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE DERIVADOS DE OXIDO DE ETILENO Y ETOXILADOS,,,,,,
19,,CLARIANT PRODUCTOS QUIMICOS S. A. DE C. V.,,,,PLASTICOS No. 28,SANTA CLARA COATITLA,ECATEPEC DE MORELOS,,MEXICO,2000AR03E,08/11/2000,FABRICA DE PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,NO DISPONIBLE,,,,,,
20,,CLOROBENCENOS S. A DE C. V.,,,,KM 1 CARRETERA A ORIENTAL,S/C,EL CARMEN TEQUEXQUITLA,90570,TLAXCALA,06FQBIO290070004,23/10/2006,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,"FABRICACION    DE   CLOROBENCENOS, CLORURO DE CALCIO",ACIDO,,"CLORHIDRICO,",CLORURO,FERRICO,Y
21,,COMPLEJO PETROQUIMICO INDEPENDENCIA,,,,CARRETERA FEDERAL MEXICO-PUEBLA KM 76.5,S/C,SAN MARTIN TEXMELUCAN,74000,PUEBLA,05FQBO211320005,17/02/2016,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE ADITIVOS ORGANICOS PARA PRODUCTOS OLEICOS,,,,,,
22,,"COMPLEX QUIMICA, S.A. DE C.V.",,,,AV. CUAUHTEMOC 700,RESIDENCIAL CUAUHTEMOC,SANTA CATARINA,66144,NUEVO LEON,09FQBO190480017,08/09/2009,FABRICACION DE PRODUCTOS QUMICOS BASICOS ORGANICOS,,,,"FABRICACION  DE  SAL  TETRASODICA  DEL  ACIDO  ETILENDIAMINOTETRAACETICO  (EDTA), SAL PENTASODICA DEL ACIDO DIETILENTRIAMINOPENTAACETICO (DTPA)",,,,,,
23,,COVESTRO S.A. DE C.V,,,,"VAA MORELOS 330-E, BLOQUE H",SANTA CLARA COATITLA,ECATEPEC DE MORELOS,55540,ESTADO DE MAXICO,16FQBO1503301,13/01/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACIAN DE ISOCIANATOS Y POLIOLES,,,,,,
24,,CYTEC DE MEXICO S.A DE C.V,,,,KM 40 CARRETERA GUADALAJARA-LA BARCA,IXTLAHUACAN         DE         LOS MEMBRILLOS,ATEQUIZA,45860,JALISCO,99AR02E,,PRODUCTOS QUIMICOS BASICOS ORGANICOS; FABRICA DEa| PRODUCTOS QUIMICOS BASICOS INORGANICOS; FABRICA DE ...,,,,NO DISPONIBLE,,,,,,
25,,DERIVADOS MALEICOS S. A DE C. V,,,,KM 112.8 CARR MEX-PUEBLA-TEHUACAN,PUEBLA,PUEBLA,72000,PUEBLA,05FQBO211140002,28/02/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACION DE ANHIDRIDO MALEICO,,,,,,
26,,DIATOM QUIMICA MEXICO SA DE CV,,,,PONIENTE 146 NO. 688,INDUSTRIAL VALLEJO,AZCAPOTZALCO,02300,DISTRITO FEDERAL,15FQBO0900201,15/05/2015,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACIAN DE SILICATO DE SODIO LIQUIDO,,,,,,
27,,DU PONT MEXICO S.A. DE C.V.,,,,KM 76.3 CARRETERA FEDERAL MEXICO-PUEBLA,"SAN                             JERONIMO
TIANGUISMANALCO",SAN MARTIN TEXMELUCAN,74000,PUEBLA,94AR174E,,FABRICANTE DE CIANURO SODICO,,,,NO DISPONIBLE,,,,,,
28,,ELECTRO QUIMICA MEXICANA S. A. DE C .V,,,,AV. INDUSTRIA NO. 9,INDUSTRIAL CERRO GORDO,ECATEPEC,55420,MEXICO,07FQBI150330020,12/03/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE PEROXIDO DE HIDROGENO,,,,,,
29,,ERACHEM MEXICO S.A. DE C.V.,,,,DOM. CONOCIDO CARR. TAMPICO-VALLES KM 28,TAMOS,PANUCO,92018,VERACRUZ,07FQBI301230015,16/02/2007,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,SULFATO DE MANGANESO Y OXIDO MANGANOSO,,,,,,
30,,FEFERMEX S. A. DE C. V. (ANTES FENOQUIMIA S. A. DE C. V.),,,,PREDIO ENCINO GORDO S/N,PREDIO ENCINO GORDO,COSOLEACAQUE,96340,VERACRUZ,06FQBOI300480001,10/07/2012,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,"FABRICACION DE FENOL, ACETONA YACIDO SULFURICO.",,,,,,
31,,FENO RESINAS S.A. DE C.V.,,,,"ORIENTE 3, NO. 19, MANZANA 5 LOTE 28",PARQUE                   INDUSTRIAL TIZAYUCA,TIZAYUCA,43800,HIDALGO,16FQBOI1306905,13/06/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,"FABRICACION     DE     RESINAS     FENOLICAS,     FORMALDEHIDO,     PARAFORMALDEHIDO, HEXAMETILENTETRAMINA, TRIBUTILCITRATO, AUXILIARES Y ARENAS PARA FUNDICION.",,,,,,
32,,FENOQUIMIA S.A. DE C.V.,,,,KM  25  +  500  CARRETERA   FEDERAL  JOROBAS- TULA,IZTAZACUALA,ATITALAQUIA,,HIDALGO,96AR33E,,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
33,,FERRO MEXICANA S.A. DE C.V.,,,,ORIENTE 171 No. 450,ARAGON INGUARAN,GUSTAVO A. MADERO,,D.F.,95AR028E,,,,,,"PINTURAS,   ESMALTES,   SOLVENTES,   TINTAS   E   IMPERMEABILIZANTES;   FABRICA   DEa| PRODUCTOS QUIMICOS, TOXICOS Y/O PELOGROSOS; FABRICA DEa|",,,,,,
34,,"FORMOQUIMIA, S.A. DE C.V.",,,,AVE. SANTA BARBARA S/N,BARRIO DE ESPAAA,HIDALGO DEL PARRAL,33870,CHIHUAHUA,05FQBO080320005,10/11/2005,FABRICACION DE PRODUCTOS QUIMICOSA BASICOS ORGANICOS,,,,FABRICACION DE FORMALDEHIDO,,,,,,
35,,"FOSECO, S.A DE C.V",,,,LUCIO BLANCO NO. 232,10 DE MAYO,GUADALUPE,,NUEVO LEON,99AR03E,,FABRICA DE PRODUCTOS QUIMICOS BASICOS INORGANICOS Y ORGANICOS,,,,NO DISPONIBLE,,,,,,
36,,GIVAUDAN DE MEXICO S.A. DE C.V.,,,,CAMINO A QUINTANARES KM. 1.5,PEDRO ESCOBEDO,QUERETARO,76700,QUERETARO,97AR12E,07/07/2008,"PRODUCTOS QUIMICOS; TOXICOS Y/O PELIGROSOS, FABRICA DEa|",,,,NO DISPONIBLE,,,,,,
37,,GRUPO CELANESE S. DE R.L. DE C.V.,,,,Km.  78.5  CARRETERA  GUADALAJARA-LA  BARCA CUITZEO,S/C,PONCITLAN,47850,JALISCO,09FQBO140660017,12/05/2009,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANCOS,,,,FABRICACION DE ANHIDRIDO ACETICO,,,,,,
38,,GRUPO CELANESE S. DE R.L. DE C.V. COMPLEJO CANGREJERA,,,,CARRETERA     COATZACOALCOS-VILLAHERMOSA KM 12.3,CANGREJERA,COATZACOALCOS,96400,VERACRUZ,03FQBO300390001,19/05/2008,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"ACETATO   DE  VINILO,  ANHADRIDO   ACATICO,  METILAMINAS,  DIMETILFORMAMIDA,  ACIDO ACRILICO, ACETATO DE ETILO, ACRILATO DE METILO, ACETATO DE ISOPROPILO, OXIDO DE MESITILO,   ALCOHOL   DIACETONA,   HEXILENGLICOL,   METIL   ISOBUTIL   CARBINOL,   METIL ISOBUTIL CETONA",,,,,,
39,,INDUSTRIA DEL ALCALI S.A. DE C.V.,,,,CARRETERA A GARCIA Km. 9,S/C,GARCIA,66000,NUEVO LEON,13FQBI0801901,26/11/2013,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACIAN DE CARBONATO DE SODIO, BICARBONATO DE SODIO, CLORURO DE SODIO Y CLORURO DE CALCIO",,,,,,
