i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,20,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,4339,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,547,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,67,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,1475,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	02,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,422,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,160.5,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,1769,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	03,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,1559,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,3540,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,104996,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,192124,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1126,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,5479,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,19331,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,55,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,247,Cifras Preliminares.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2018,Enero,	05,	033,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,44,Cifras Preliminares.
