i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2521,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,111349,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,190948,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1600,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,6724,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,442,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,7607,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,194989,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,65199,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,134784,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,198863,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,27237,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,590,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,89,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,131,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,4436,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	011,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,19677,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	018,Metales Preciosos,Plata,Kilogramos,45,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	018,Metales Industriales No Ferrosos,Plomo,Toneladas,1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	030,Metales Preciosos,Oro,Kilogramos,2.4,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	030,Metales Preciosos,Plata,Kilogramos,73,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	030,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	032,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	032,Metales Preciosos,Plata,Kilogramos,313,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	032,Metales Industriales No Ferrosos,Plomo,Toneladas,2,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	032,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	032,Metales Industriales No Ferrosos,Zinc,Toneladas,18,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	036,Minerales No MetA!licos,Barita,Toneladas,360,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	044,Metales Preciosos,Oro,Kilogramos,1.3,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	044,Metales Preciosos,Plata,Kilogramos,471,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	044,Metales Industriales No Ferrosos,Plomo,Toneladas,58,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	044,Metales Industriales No Ferrosos,Cobre,Toneladas,9,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	051,Metales Preciosos,Oro,Kilogramos,1.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	051,Metales Preciosos,Plata,Kilogramos,79,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	060,Metales Preciosos,Oro,Kilogramos,23.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2003,Enero,	08,	060,Metales Preciosos,Plata,Kilogramos,12889,Cifras Definitivas.
