i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,12,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,3796,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,540,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,108,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,2815,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,35,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,1388,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,1262,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,124146,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,225585,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,2699,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,6841,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,11213,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2011,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
