i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2153,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,125803,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,224977,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1450,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,8148,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,1908,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,15,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	023,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,532,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	027,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	027,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	030,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	030,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,4383,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,264208,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,25089,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,108429,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,215425,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,290058,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,21277,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,34,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,13,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,1502,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,377,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	004,Metales Industriales No Ferrosos,Cobre,Toneladas,31,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	004,Metales Industriales No Ferrosos,Zinc,Toneladas,927,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	005,Metales Preciosos,Oro,Kilogramos,1.3,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,1614,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,77,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,170,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,3902,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2007,Enero,	08,	011,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,45602,Cifras Definitivas.
