i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,56.7,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,3953,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,690,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,100,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,2575,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	02,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,2231,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,228.6,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,3906,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	03,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,412,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,1032,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,108587,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,255788,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,3150,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,3323,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,16100,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,69,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,7525,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	033,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,176,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,337572,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	06,	002,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,14214,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,106792,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,142490,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,146584,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,23728,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,1321,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,1522,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,450,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	004,Metales Industriales No Ferrosos,Cobre,Toneladas,24,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	004,Metales Industriales No Ferrosos,Zinc,Toneladas,1595,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	005,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,1493,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,203,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,190,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,3703,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	007,Metales Industriales No Ferrosos,Plomo,Toneladas,1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	007,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	011,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,38669,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	018,Metales Preciosos,Oro,Kilogramos,2.4,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	018,Metales Preciosos,Plata,Kilogramos,1423,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	018,Metales Industriales No Ferrosos,Plomo,Toneladas,126,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	018,Metales Industriales No Ferrosos,Zinc,Toneladas,109,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	020,Metales Preciosos,Oro,Kilogramos,170.5,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	020,Metales Preciosos,Plata,Kilogramos,11514,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	030,Metales Preciosos,Oro,Kilogramos,0.8,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	032,Metales Preciosos,Oro,Kilogramos,4,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	032,Metales Preciosos,Plata,Kilogramos,2625,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	032,Metales Industriales No Ferrosos,Plomo,Toneladas,99,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	032,Metales Industriales No Ferrosos,Cobre,Toneladas,1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	032,Metales Industriales No Ferrosos,Zinc,Toneladas,98,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	038,Minerales No MetA!licos,Barita,Toneladas,184,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	040,Metales Preciosos,Oro,Kilogramos,210.7,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	040,Metales Preciosos,Plata,Kilogramos,13266,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	044,Metales Industriales No Ferrosos,Plomo,Toneladas,32,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2016,Enero,	08,	044,Metales Industriales No Ferrosos,Zinc,Toneladas,36,Cifras Definitivas.
