i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,11,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,4826,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,931,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,96,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,3214,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,4016,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,124146,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,225909,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,2450,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,5396,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,6301,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,182,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,6286,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,454866,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,109728,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	06,	007,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,230848,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,241293,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	06,	009,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,91617,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,20758,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,1888,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,540,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	004,Metales Industriales No Ferrosos,Cobre,Toneladas,22,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	004,Metales Industriales No Ferrosos,Zinc,Toneladas,1204,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Metales Preciosos,Oro,Kilogramos,1.3,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,1832,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,326,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,166,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,3944,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	005,Minerales No MetA!licos,Barita,Toneladas,70,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	011,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,34294,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	017,Metales Preciosos,Plata,Kilogramos,580,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2010,Enero,	08,	017,Metales Industriales No Ferrosos,Plomo,Toneladas,2,Cifras Definitivas.
