i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,3361,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	006,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	006,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,131169,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,194871,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1800,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,7302,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0.2,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,1880,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,12,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,38,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,4895,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,294718,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,25409,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,102958,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,209532,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,219015,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,19890,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0.2,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,103,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,20,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,2,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2006,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,1448,Cifras Definitivas.
