i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,239.6,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,1642,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	02,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	02,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2430,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,134385,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,195372,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1150,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,6977,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,4967,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,20,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,560,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,7246,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	05,	034,Metales Industriales No Ferrosos,Zinc,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,180478,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,26195,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	08,	004,Metales Preciosos,Oro,Kilogramos,0.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,168,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2001,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,30,Cifras Definitivas.
