PLANTAS DE TRATAMIENTO DE AGUAS RESIDUALES 2016,,,,,,
ESTADO,MUNICIPIO,LOCALIDAD,NOMBRE DE PTAR,CAPACIDAD INSTALADA L/S,CAUDAL TRATADO L/S,TIPO DE PROCESO
AGUASCALIENTES,Aguascalientes,Aguascalientes,Cd. Aguascalientes,2000,510.41,Dual
AGUASCALIENTES,Aguascalientes,Aguascalientes,Ciudad Gotica,15,3,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Colonia Bolanos,1,1.8,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Aguascalientes,El Eden I (Capamita),2,0.6,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Ferronales,40,19.78,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Fracc. Jardines del Lago,8,2.9,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Fracc. Los Miradores,40,6,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Fracc. Villa Sur,22,9,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Fraccionamiento La Natura,50,11.84,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Las Violetas,1,1.5,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Aguascalientes,Los Arellano,300,99.14,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Los Pocitos,300,74.56,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Los Sauces,100,57.69,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Parque Mexico,120,30,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Presa El Cedazo,300,93.39,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Presa Los Gringos,60,50,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Querencia,10,6,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Rancho Santa Monica (Providencia),20,6,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Reencuentro,8,3.97,Anaerobio
AGUASCALIENTES,Aguascalientes,Aguascalientes,Villa Las Norias,9.5,2,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Villa Las Palmas,10,4,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,"Villas ""Lic. Jesus Teran"" Calvillito",10,5,Lodos Activados
AGUASCALIENTES,Aguascalientes,Aguascalientes,Vistas de Oriente,20,10,Discos Biologicos o Biodiscos
AGUASCALIENTES,Aguascalientes,Cieneguilla (La Lumbrera),Cieneguilla,3,2,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Ciudad de los Ninos,Ciudad de los Ninos,2,0.1,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Cotorina (Coyotes),Cotorina,4,1.4,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,El Cedazo (Cedazo de San Antonio),El Cedazo de San Antonio,1,0.7,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,El Colorado (El Soyatal),El Colorado (El Soyatal),1,0.5,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,El Duraznillo,El Duraznillo,1,0.9,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,El Lucero de la Cruz,Lucero de la Cruz,0.5,0.3,Fosa Septica
AGUASCALIENTES,Aguascalientes,El Niagara (Rancho) ,Presa el Niagara,0.6,1.8,Fosa Septica
AGUASCALIENTES,Aguascalientes,El Ocote,El Ocote,1,0.6,Fosa Septica
AGUASCALIENTES,Aguascalientes,El Salto de los Salado,Salto de los Salados,3.5,3.4,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,El Trigo (Tanque el Trigo),El Trigo,1.2,0.6,Fosa Septica
AGUASCALIENTES,Aguascalientes,Jaltomate,Jaltomate,7,4.12,Lodos Activados
AGUASCALIENTES,Aguascalientes,Los Canos,Los Canos,3,2.4,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Los Cuervos (Los Ojos de Agua),Los Cuervos,2.5,2,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Los Duron,Los Duron,1,0.9,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Montoro (Mesa del Salto),Montoro,2.1,2.1,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Norias de Ojo Caliente,Norias de Ojo Caliente,10,3.26,Lodos Activados
AGUASCALIENTES,Aguascalientes,Santa Cruz de la Presa,Santa Cruz de la Presa,1,0.6,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Santa Maria de Gallardo,Santa Maria de Gallardo,1.5,1.1,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Soledad de Abajo,Soledad de Abajo (Becerra),1,2.2,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Villa Lic. Jesus Teran (Calvillito),Calvillito,7.5,6.8,Lagunas de Estabilizacion
AGUASCALIENTES,Aguascalientes,Vista Alegre,Vista Alegre,1,3.8,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Amarillas de Esparza,Amarillas de Esparza,2.2,1.5,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Asientos,Cabecera Municipal,30,9.06,Lodos Activados
AGUASCALIENTES,Asientos,Bimbaletes Atlas (Tanque de la Vieja),Bimbaletes de Atlas,1.5,0.9,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Cienega Grande,Cienega Grande,6,3.45,Lodos Activados
AGUASCALIENTES,Asientos,Colonia San Pedro,Colonia San Pedro,0.7,0.5,Fosa Septica
AGUASCALIENTES,Asientos,Guadalupe de Atlas,Guadalupe de Atlas,2.5,4,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Jarillas,Jarillas,1,1.8,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Jilotepec,Jilotepec,2,0.69,Anaerobio
AGUASCALIENTES,Asientos,Las Negritas,Las Negritas,1.5,1.2,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Molinos,Molinos (El Molino),1.6,2.2,Lagunas de Estabilizacion
AGUASCALIENTES,Asientos,Pilotos,Pilotos,4,2.5,Humedales (Wetland)
AGUASCALIENTES,Asientos,Villa Juarez,Villa Juarez,20,13.79,Lodos Activados
AGUASCALIENTES,Calvillo,Calvillo,Calvillo,150,57,Lodos Activados
AGUASCALIENTES,Calvillo,Cerro Blanco,Cerro Blanco,1,0.09,Lodos Activados
AGUASCALIENTES,Calvillo,Crucero las Pilas,Crucero las Pilas,1.5,1.7,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,El Rodeo,El Rodeo,1,0.9,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,El Salitre,El Salitre,3.5,3.16,"Rafa, Wasb + Humedal"
AGUASCALIENTES,Calvillo,El Sauz,Sauz de los Vallin,1,0.1,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,El Tepetate de Arriba,Tepetate de Arriba,1,0.2,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,Jaltiche de Arriba,Jaltiche de Arriba,2.5,3.8,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,Mesa Grande,Mesa Grande,2.6,2.1,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,Ojocaliente,Ojocaliente,13,13,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,Piedras Chinas,Piedras Chinas,1,0.5,Lagunas de Estabilizacion
AGUASCALIENTES,Calvillo,Temazcal,El Temazcal,1.2,0.55,Lagunas de Estabilizacion
AGUASCALIENTES,Cosio,Cosio,Cosio,18,16.29,Lodos Activados
AGUASCALIENTES,Cosio,Cosio,Cosio Sur,6,3.39,Lodos Activados
AGUASCALIENTES,Cosio,La Punta,La Punta,4,4.4,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,El Novillo,El Novillo,1.4,1.1,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,La Luz,La Luz,2.5,1.6,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,Los Conos,Los Conos,2.5,3.8,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,Palo Alto,Lomas del Refugio,2,0.68,Anaerobio
AGUASCALIENTES,El Llano,Palo Alto,Palo Alto,18,10,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,Palo Alto,Palo Alto,20,12.48,Lodos Activados
AGUASCALIENTES,El Llano,San Geronimo,San Geronimo,1,0.2,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,Sandovales (San Miguel de los Sandovales),Sandovales,2,2.6,Lagunas de Estabilizacion
AGUASCALIENTES,El Llano,Tanque el Coyote (El Coyote),El Territorio,1,0.1,Fosa Septica
AGUASCALIENTES,Jesus Maria,Canada el Rodeo,Canada del Rodeo,1,0.4,Lagunas de Estabilizacion
AGUASCALIENTES,Jesus Maria,Jesus Gomez Portugal (Margaritas),Jesus Gomez Portugal,18.5,10,Lagunas de Estabilizacion
AGUASCALIENTES,Jesus Maria,Jesus Maria,Fracc. Paseos de Aguascalientes,10,2.9,Lodos Activados
AGUASCALIENTES,Jesus Maria,Jesus Maria,Jesus Maria y Zona Conurbada,200,64.94,Lodos Activados
AGUASCALIENTES,Jesus Maria,Jesus Maria,Parque Industrial del Valle de Aguascalientes (PIVA),40,17.74,Lodos Activados
AGUASCALIENTES,Jesus Maria,Jesus Maria,Trojes y Reserva San Cristobal,6,3.7,Lodos Activados
AGUASCALIENTES,Jesus Maria,La Lomita de Paso Blanco (Las Canoas),Lomita de Paso Blanco,100,28.3,Lodos Activados
AGUASCALIENTES,Jesus Maria,La Promavera,La Primavera,0.78,0.37,Fosa Septica
AGUASCALIENTES,Jesus Maria,Tapias Viejas,Tapias Viejas,2,0.61,Anaerobio
AGUASCALIENTES,Pabellon de Arteaga,Emiliano Zapata,Emiliano Zapata,8,5,Anaerobio
AGUASCALIENTES,Pabellon de Arteaga,Pabellon de Arteaga,Pabellon de Arteaga,200,95.06,Lodos Activados
AGUASCALIENTES,Pabellon de Arteaga,San Luis de Letras,San Luis de Letras,2.3,2.9,Lagunas de Estabilizacion
AGUASCALIENTES,Rincon de Romos,16 de Septiembre,Colonia 16 de Septiembre,1.5,1.2,Lagunas de Estabilizacion
AGUASCALIENTES,Rincon de Romos,El Valle de las Delicias,Valle de las Delicias,5,2.2,Lagunas de Estabilizacion
AGUASCALIENTES,Rincon de Romos,Estancia de Mosqueira,Estancia de Mosqueira,1,3.8,Fosa Septica
AGUASCALIENTES,Rincon de Romos,Mar Negro,Mar Negro,1.8,0.8,Humedales (Wetland)
AGUASCALIENTES,Rincon de Romos,Pabellon de Hidalgo,Cabecera Municipal,12,8.98,Lodos Activados
AGUASCALIENTES,Rincon de Romos,Pabellon De Hidalgo,Pabellon de Hidalgo,12,10,Lagunas de Estabilizacion
AGUASCALIENTES,Rincon de Romos,Puerta del Muerto (El 15),Puerta del Muerto,1.5,1.3,Lagunas de Estabilizacion
AGUASCALIENTES,Rincon de Romos,Rincon de Romos,Estacion Rincon,1,1,Fosa Septica
AGUASCALIENTES,Rincon de Romos,Rincon de Romos,Rincon de Romos,200,89.18,Lodos Activados
AGUASCALIENTES,Rincon de Romos,San Jacinto,San Jacinto,7,3.96,Lodos Activados
AGUASCALIENTES,Rincon de Romos,San Juan de la Natura,San Juan de la Natura,5,1.77,Lodos Activados
AGUASCALIENTES,San Francisco de los Romo,Chicalote (Estacion),Chicalote,1.5,1,Lagunas de Estabilizacion
AGUASCALIENTES,San Francisco de los Romo,Ejido Rancho Nuevo,Rancho Nuevo,1,0.1,Lagunas de Estabilizacion
AGUASCALIENTES,San Francisco de los Romo,Loretito (Charco del Toro),Loretito,0.2,0.1,Fosa Septica
AGUASCALIENTES,San Francisco de los Romo,San Francisco De Los Romo,San Francisco de los Romo,150,20.44,Lodos Activados
AGUASCALIENTES,San Jose de Gracia,La Congoja,La Congoja I,1.4,0.1,Humedales (Wetland)
AGUASCALIENTES,San Jose de Gracia,La Congoja,La Congoja II,1,0.03,Fosa Septica
AGUASCALIENTES,San Jose de Gracia,Paredes,Paredes,1,1.7,Fosa Septica
AGUASCALIENTES,San Jose de Gracia,Rancho Viejo,Rancho Viejo,1,0.4,Lagunas de Estabilizacion
AGUASCALIENTES,San Jose de Gracia,San Antonio de los Rios,Paredes y San Antonio de los Rios,6,4.22,Lodos Activados
AGUASCALIENTES,San Jose de Gracia,San Antonio de los Rios,San Antonio de los Rios,3,1.7,Lagunas de Estabilizacion
AGUASCALIENTES,San Jose de Gracia,San Jose De Gracia (Colonia Calles),San Jose de Gracia (Colonia Calles),25,13.3,Lodos Activados
AGUASCALIENTES,Tepezala,Arroyo Hondo,Arroyo Hondo,1,0.4,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Aguila,El Aguila,1,0.2,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,EL Barranco,El Barranco,1,1.1,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Carmen,El Carmen,1,0.3,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Chayote,El Chayote,3.7,3.6,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Gigante,El Gigante,1.4,0.9,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Porvenir,El Porvenir,1,0.6,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Porvenir,El Porvenir,0.6,0.2,Fosa Septica
AGUASCALIENTES,Tepezala,EL Refugio,EL Refugio,1.3,0.8,Lagunas de Estabilizacion
AGUASCALIENTES,Tepezala,El Tepozan,El Tepozan,1,0.3,Lagunas de Estabilizacion
