i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,121.3,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,5724,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,848,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,107,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,2285,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	02,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,533,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	02,	001,Minerales No MetA!licos,Barita,Toneladas,12,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,129.8,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,1458,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,5267,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,139467,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,248398,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1816,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,2989,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,10978,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,7155,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,270649,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,101795,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	06,	006,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,1617,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2013,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,236795,Cifras Definitivas.
