i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,28,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,2235,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,407,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,114,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,1809,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	02,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,353,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,279.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,3171,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	03,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,492,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,1636,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,107245,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,245644,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,1843,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,7208,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,12939,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,70,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,4656,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	033,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,35,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,403275,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	06,	002,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,21425,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2017,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,96933,Cifras Definitivas.
