i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2382,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,115065,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,171102,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,2129,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,6402,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,1907,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	023,Metales Industriales No Ferrosos,Plomo,Toneladas,10,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	023,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,517,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,2597,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,227517,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	06,	004,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,49237,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,26496,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,195928,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,220643,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2004,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,27553,Cifras Definitivas.
