No. ,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Entidad,Teléfono,Tipo de residuo,No. de Autorización,Vigencia    Inicio    ,Vigencia Termino,Capacidad Toneladas.,,,,,,,
11,"Refaccionaria Roca, S.A. de C.V.","Av. Independencia No. 521; Col. Industrial, C.P. 20030",Aguascalientes,1,Aguascalientes,1,01 449 914 78 01 y 916 08 45,Acumuladores Usados,01-001-PS-II-20D-12,27/01/2012,27/01/2022,,,,,,,,
12,"Recolecciones Industriales del Bajío, S.A. de C.V.","San Gabriel No. 159, Col. Comunidades Medio Rural(Comunidad Rocio), Manzana 0006, Lote 0029",Aguascalientes,1,Aguascalientes,1,01 477 763 66 04 y 79,"Agua con hidrocarburos, trapos, estopas, papel, cuero, epp contaminado con hidrocarburos, hoja de aluminio con isopropanol, basura con polvo de níquel y cadmio, escoria de soldadura de plomo/estaño, lodos de cromo y níquel, lodos de zinc, placa negativa de cadmio, placa positiva de níquel, rebaba de aluminio, rebaba de zinc, sulfato de níquel basura con polvo de níquel y cadmio, basura de rebaba de níquel, baterías de níquel y cadmio, escoria de soldadura de plomo/estaño, lodos de cromo y níquel, lodos de zinc, placa negativa de cadmio, placa positiva de níquel, rebaba de aluminio, rebaba de zinc, sulfato de níquel aceite hidráulico con solventes, aceite lubricante gastado, aceite residual, desengrasante con grasa y aceite, grasa residual, aceite soluble agua con detergente industrial (metasilicato de sodio), solución de hidróxido de sodio, lodos alcalinos de plantas de tratamiento ácido crómico y mezclas de ácido fosfórico, clorhídrico nítrico y sulfúrico baterías( ácido sulfúrico con plomo)aserrín y filtros de carbón activado con ácido sulfúrico acetona residual, alcohol isopropilico, barniz de aluminio, basura con solventes, espíritus minerales, filtros con solventes, flux residual, mezcla de solventes (tolueno, xileno, alcohol isopropilico, metiletilcetona), nafta de petróleo, pinturas base solvente, simple green (gicol etér)medicamentos caducos.  ",01-001-PS-II-21D-12,30/11/2012,30/11/2022,"5,670",,,,,,,
13,"Pacific Treatment Environmental Services, SA de CV","Calle Nueve Sur No. 113, Ciudad Industrial Nueva Tijuana, CP 22500",Tijuana,4,Baja California,2,66 46 23 52 00,"Sólidos y líquidos inflamables y tóxicos, excepto: explosivos, bifenilos policlorados, biológico infecciosos, gases, radioactivos y residuos o mezclas de ellos en cantidad igual o superior a los valores de reporte que hacen a una actividad altamente riesgosa",02-II-14-08 PRÓRROGA,12/12/2008,12/12/2018,"1,039.00",,,,,,,
14,"Envirocon Internacional de México, S de RL de CV","Calzada Gómez Morín No. 558, Exejido Coahuila, Baja California, CP 21360 ",Mexicali,2,Baja California,2,68 65 61 91 30,"residuos de soldadura de la industria electrónica con estaño/plomo, residuos de soldadura de la industria electrónica con estaño/plata y acumuladores automotrices usados, con características de peligrosidad",02-004-PS-II-02-D-2009,30/01/2009,30/01/2019,150.00,,,,,,,
15,"Recicladora TNT, SA de CV","Carretera A San Felipe km 3.5, No. 855, Col. Rivera Campestre",Mexicali,2,Baja California,2,68 69 06 20 62,"acumuladores automotrices usados, con características de corrosividad y toxicidad",02-004-PS-II-03-D-2009,30/01/2009,30/01/2019,150.00,,,,,,,
16,Juan Guillermo Zarza Jaime,"Av. 34 Sur y Calle 1, No. 7704 Interior 54, Fraccionamiento Rubio, La Mesa, CP 22116",Tijuana,4,Baja California,2,61 96 66 67 86,"Convertidores catalíticos automotrices gastados, con características de toxicidad",02-004-PS-II-04-D-2009,17/02/2009,17/02/2019,700.00,,,,,,,
17,"Soluciones en Medio Ambiente, SA de CV","Boulevard López Mateos km 5.5, Centro Industrial Margar, Col. Sámchez Taboada, CP 21360",Mexicali,2,Baja California,2,68 65 80 96 73,"Aceites gastados; sustancias corrosivas; sólidos impregnados con solventes orgánicos inflamables; solventes orgánicos clorados, resinas, plaguicidas y pesticidas, residuos de la industria electrónica e informática",02-004-PS-II-06-D-2008,24/11/2008,24/11/2018,0.00,,,,,,,
18,"Cores Depot México, S de RL de CV","Boulevard Federico Benitez No. 200-4, Fraccionamiento Los Españoles",Tijuana,4,Baja California,2,66 46 45 13 46,Catalizadores Gastados de vehículos automotores,02-004-PS-II-07-D-2008,24/11/2008,24/11/2018,"1,920.00",,,,,,,
19,María Rafaela Bazán Jiménez,"Calle 13 No. 184, Poblado Guadalupe Victoria, CP 21720",Mexicali,2,Baja California,2,,Catalizadores gastados,02-004-PS-II-10-D-2009,12/10/2009,12/10/2019,1.00,,,,,,,
20,"Recicladora Cachanilla, SA de CV","Carretera a Tecate km 14.5 No. 1647, Fraccionamiento García La Mesa, CP 22680",Tijuana,4,Baja California,2,66 49 02 35 78,Catalizadores usados y desperdicios de antimonio,02-004-PS-II-12-D-2009,20/10/2009,20/10/2019,289.00,,,,,,,
21,"Baterías de México, SA de CV","Av. Isal Tiburón NO. 19920-F, Col. Buenos Aires Sur",Tijuana,4,Baja California,2,66 49 72 26 20,Acumuladores automotrices usados,02-004-PS-II-09-D-2009,21/09/2009,21/09/2019,128.00,,,,,,,
22,"AISA de México, SA de CV","Av. Juan Alessio No. 12440-B, Parque Industrial el Pacífico, Delegación Sánchez Taboada, CP 22680",Tijuana,4,Baja California,2,66 42 50 74 68,"sólidos contaminados con aceites y grasas, sólidos contaminados con pintura y solventes, agua contaminada con aceite, agua cantaminada con solventes, aceite residual, pintura y solventes residuales, lodos contaminados con aceite, solventes y pinturas, baterías ácido-plomo, baterías niquel-cadmio, escoria de soldadura (estaño, plata, plomo), placas y componentes electrónicos, contenedores vacíos (tibones, totes, galones, cubetas), lámparas de mercurio, ácidos residuales, percloroetileno y basura impregnada con resinas",02-004-PS-II-01D-2010,15/01/2010,15/01/2020,100.00,,,,,,,
