i>>?PROD_EST,COBERTURA,ANIO,MES,ID_ENTIDAD,ID_MUNICIPIO,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,ESTATUS
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	01,	002,Metales Preciosos,Oro,Kilogramos,86.3,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	01,	002,Metales Preciosos,Plata,Kilogramos,5735,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	01,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,971,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	01,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,95,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	01,	002,Metales Industriales No Ferrosos,Zinc,Toneladas,2711,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	02,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,571,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	02,	002,Metales Preciosos,Oro,Kilogramos,168.5,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	02,	002,Metales Preciosos,Plata,Kilogramos,2396,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	002,Minerales No MetA!licos,Fluorita,Toneladas,2173,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	018,Metales y Minerales SiderAorgicos,Coque,Toneladas,152600,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	018,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,248774,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	020,Minerales No MetA!licos,Barita,Toneladas,766,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	020,Minerales No MetA!licos,Fluorita,Toneladas,5525,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	023,Metales Preciosos,Oro,Kilogramos,0.1,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	023,Metales Preciosos,Plata,Kilogramos,7850,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	024,Minerales No MetA!licos,Barita,Toneladas,152,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	032,Metales y Minerales SiderAorgicos,Coque,Toneladas,7641,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	05,	034,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,246223,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	06,	005,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,112001,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	06,	007,Metales y Minerales SiderAorgicos,Pellets de fierro,Toneladas,166660,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	06,	008,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,287880,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	07,	074,Minerales No MetA!licos,Azufre,Toneladas,24542,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	001,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,699,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	002,Metales Preciosos,Oro,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	002,Metales Preciosos,Plata,Kilogramos,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	002,Metales Industriales No Ferrosos,Plomo,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	002,Metales Industriales No Ferrosos,Cobre,Toneladas,0,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	003,Minerales No MetA!licos,Barita,Toneladas,14,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	004,Metales Preciosos,Plata,Kilogramos,2359,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	004,Metales Industriales No Ferrosos,Plomo,Toneladas,569,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	004,Metales Industriales No Ferrosos,Cobre,Toneladas,29,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	004,Metales Industriales No Ferrosos,Zinc,Toneladas,1835,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	005,Metales Preciosos,Oro,Kilogramos,0.8,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	005,Metales Preciosos,Plata,Kilogramos,1874,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	005,Metales Industriales No Ferrosos,Plomo,Toneladas,111,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	005,Metales Industriales No Ferrosos,Cobre,Toneladas,209,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	005,Metales Industriales No Ferrosos,Zinc,Toneladas,3369,Cifras Definitivas.
ProducciA3n minera por principales entidades federativas y municipios,Municipal,2014,Enero,	08,	011,Metales y Minerales SiderAorgicos,Fierro en Extraccion,Toneladas,36108,Cifras Definitivas.
