Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
4/3/2018 12:59:47,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Delegacion Cuauhtemoc, Ciudad de Mexico","This neighborhood of Cuauhtemoc in Mexico City registers 128 points of ozone, even above the 100 point of neighborhoods Alvaro Obregon, Azcapotzalco, Benito Juarez, Coyoacan, Miguel Hidalgo, Venustiano Carranza, and Xochimilco.",6,About one year,Need to create long term solutions for transportation sectors.,,https://www.debate.com.mx/mexico/Delegacion-Cuauhtemoc-registra-muy-mala-calidad-de-aire-20180221-0245.html,DelegaciA3n CuauhtA(c)moc registra muy mala calidad de aire,2/5/2018
4/3/2018 13:14:45,,"Industrial belts (e.g, hazardous companies), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Atasta, Campeche","During the last 30 years, Pemex, has been suspected of contaminating the area surrounding their plants. Several ecological groups, like Marea Azul, has requested the government and Semarnat investigate the effects of the petroleum company on the surrounding environment and report back to the community. However, the monitoring stations only report back to Pemex and the government continues to ignore evident signs of severe contamination and health hazards.",8,Longer than one year,Hold Pemex and Semarnat accountable through ,,http://tribunacampeche.com/carmen/2018/01/17/pemex-responsable-lluvia-acida-atasta/,"PEMEX, responsable de lluvia acida en Atasta",
4/3/2018 13:19:52,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Ciudad del Carmen, Campeche","Illegal, open-air waste sites are creating focal points for illnesses such as colera and salmonelosis. This is due to the suspension of activities from the waste collection company PASA, which owes the city 47 million pesos.",8,"One week, it just emerged",Government must create sites and allow other companies to collect waste or collect it themselves.,,https://www.lajornadamaya.mx/2018-02-18/-Carmen---expuesta-al-enfermedades-por-basura-acumulada,"Carmen', expuesta al enfermedades por basura acumulada",2/5/2018
4/3/2018 13:23:15,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Chihuahua, Chihuahua","For the first time in its history, the city of Chihuahua reaches 121 points on the Imeca index of air pollution. Anything above 100 is considered bad, while above 150 is severe.",6,About one year,-,,https://www.elheraldodechihuahua.com.mx/local/registra-chihuahua-la-peor-contaminacion-del-aire-885106.html,Registra Chihuahua la peor contaminaciA3n del aire,2/7/2018
4/3/2018 13:31:48,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Monclova, Coahuila","REMA, the Mexican Network of People Affected by Mining, blames the Profepa and the Semarnat for being complicit with the mining company Altos Hornos de Mexico (AHMSA), giving them a ""clean industry"" cetificate while ignoring the air pollution they continuously generate. They also warn that project Pachuca of the same industry will deposit 90,000 tons of toxic waste in the ejido of Jometitlan in Epazoyucan, Hidalgo.",8,"One week, it just emerged",Fine and sue company and government agency. Revoke their permission to operate as long as they contaminate. Require transparency from both the government and the businesses.,,https://www.contralinea.com.mx/archivo-revista/2018/03/21/profepa-en-conflicto-de-intereses-con-altos-hornos-rema/,Profepa en aconflicto de interesesa con Altos Hornos: REMA,3/21/2018
4/3/2018 13:45:15,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Water pollution","Saltillo, Coahuila","The mayor of Saltillo creates an environmental police force to deal with environmental crimes such as soil, water, air and sound pollution and animal abuse. It is compoosed of 13 inspectors and 10 police officers with special training. The twitter accounts @MedAmbienteSalt and @ComisionSPC are open to receive reports. Similarly, a team was train to combat forest fires.",7,"One week, it just emerged","This can be good, still requires transparency and reports to the community of their development.",,https://www.debate.com.mx/mexico/coahuila-saltillo-policia-ambiental-contaminacion-manolo-jimenez-20180315-0152.html,Crean PolicAa Ambiental en Saltillo,3/15/2018
4/3/2018 16:01:17,,Renewable energy,"Manzanillo, Colima","Eco Wave Powerr Mexico is installing a wave and tidal energy plant, the first of its kind in Mexico and Latinamerica, with a capacity of 4. MW. Colima also receives the new company Pellet Mexico, which will produce 10,000 tons of pellets a year from organic waste as an alternative to fossil fuels in the restaturants and hotel industries.",7,"One week, it just emerged",Colima should keep promoting and fostering clean energy companies.,,http://www.elfinanciero.com.mx/empresas/colima-producira-energia-por-medio-de-olas-del-mar,Colima producirA! energAa por medio de olas del mar,
4/3/2018 16:21:31,,"Infrastructure projects (e.g, oil and gas pipelines), Industrial belts (e.g, hazardous companies), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics), Government repression of activism","Pueblo Nuevo (El Siete), Durango","The Chemours Company, from the US, with their project Chemours Laguna, will install a chemical plant that will produce 65,000 tons of sodium cyanide in Pueblo Nuevo. The governor insists the prject will have no environmental problems, ignoring the company's own environmental impact report detailing the high risks of pollution. The Frente Unido de Pueblos de La Laguna en Defensa de la Vida y el Territorio (along with Rema and Accion Colectiva) have protested and legal fought against the development of the plant. The government ignored them but finally provisionally suspended the construction (80% built) when the judge was sued. The governor publicly declared his favoring the plant. On May 9, more than a thousand protesters were violently repressed, resulting in  49 arrests and 20 hospitalizations.",9,About one year,Prohibit construction of cyanide plant.,,http://www.sinembargo.mx/31-03-2018/3402416,,
4/3/2018 16:30:12,,"Mining, Water pollution, Industrial belts (e.g, hazardous companies), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Rio Piaxtla (municipio de San Dimas), Durango",Primero Empresa Minera spilled 200 liters a solution containing cyanide (20-36 g of cyanide) into the Piaxtla river. Profepa investigated the repercussions of the incident and found no significant effects.,6,"One week, it just emerged",-,,https://www.elsiglodedurango.com.mx/noticia/950190.sin-danos-mayores-en-el-rio-piaxtla.html,Sin daA+-os mayores en el RAo Piaxtla,3/11/2018
4/3/2018 16:47:05,,"Mining, Biomass and land conflicts (e.g, including deforestation and land grabs)","municipality of Inde, Durango","Canadian mining company Electrum Capital Inc. took 4,000 hectares of a mining concession from a mexican family Silveyra Arias. To do so, the Canadian company and the Mexican government collaborate illicitly, even encarerating the 75 year old Leticia Arias Castro to legitimize this land grab.",7,"One week, it just emerged",Hold a trial to have Canadian mining companies as well as corrupt Mexican officials accountable for their crimes. Free Leticia and restore their land.,,https://plumaslibres.com.mx/2018/03/11/canadienses-le-quitan-familia-durango-tierras-ricas-plata-oro-suyas-siglo/,Canadienses le quitan a familia de Durango tierras ricas en plata y oro que eran suyas hace un siglo,
4/3/2018 17:02:26,,"Mining, Biomass and land conflicts (e.g, including deforestation and land grabs), Water pollution","Tenochtitlan, Ocampo, Coahuila","Judge denies, for the second time, the right to constitutional protection for the Canadian mine First Majestic, which is being sued since 2004 for usurping 1,300 hectares from community land of the ejido of Tenochtitlan. The company took this land 38 years ago and first tried to pay off the proprietors of the ejido, offering 10 milion pesos in 2013. Many of the proprietors work in the mine, knowing they extract 400,000 ounces of silver a month. By suing, they seek compensation for the use of the land, the contamination of the water (with cyanide, as donounced in 2017), and of course, want the land back.",8,Longer than one year,Make Canadian company pay for damages..,,http://www.periodicocentral.mx/2018/nacional-seccion/item/7261-pueblo-de-ancianos-gana-amparo-otro-a-la-minera-canadiense-que-les-quito-tierras-con-oro-y-plata,"Pueblo de ancianos gana amparo, otro, a la minera canadiense que les quitA3 tierras con oro y plata  ",
4/3/2018 17:19:47,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Damage to basic services infrastructure (e.g, leaking water)","Guanajuato Puerto Interior, Guanajuato","The waste facilities of Guanajuato Puerto Interior, which receive many different kinds of industrial waste, have a leak that flows out into the street. They are worried the chemicals might cause an infection outbreak.",8,"One week, it just emerged",Solve leak. Repair environmental damage.,,https://periodicocorreo.com.mx/derraman-aguas-negras-en-vialidades-del-gpi/,Derraman aguas negras en vialidades del GPI,
4/3/2018 17:35:16,,Murder of environmental activist,"CherA!n, Michoacan",Guadalupe Campanur was reportedly strangled. She was the leader of a group who was protecting the forests of Cheran,5,About one year,Demand more information about the cause of this murder. Create consciousness about this problems.  ,,https://www.animalpolitico.com/2018/01/asesinan-guadalupe-campanur-cheran/,"Asesinan a Guadalupe Campanur, lAder comunitaria en CherA!n, MichoacA!n",1/8/2018
4/3/2018 17:42:38,,Water pollution,"Rio Mololoa. Nayarit, MA(c)xico.",The river is being polluted by waste water due to the bad organization of the waste management of previous governors. The actual governor is blaming the lack of vision when planning the waste planning several years ago.  ,7,Longer than one year,This is a long process. But start detecting where the waste waters are coming from and reporting those issues to the PROFEPA/CONAGUA.,,http://nnc.mx/articulo/Nayarit/semarnat:-todos-somos-culpables-de-la-contaminaci%C3%83%C2%B3n-del-r%C3%83%C2%ADo-mololoa/1424995122,Semarnat: Todos somos culpables de la contaminaciA3n del rAo Mololoa,
4/3/2018 17:48:36,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Tepic, Nayarit. ","The Cane sugar industry is being burned, which is producing air pollution. ",5,Longer than one year,"Stopping the production of cane sugar is imposible, due to the positive effect it has on employment and the economy. One way to solve this problem is as proposed on the article, avoid burning the cane sugar plants, cutting them could have a better effect even though it can be less efficient. ",,http://www.zafranet.com/2014/03/busca-semarnat-evitar-la-quema-de-caa-en-nayarit/,Busca Semarnat evitar la quema de caA+-a en Nayarit,
4/3/2018 17:56:21,,Fracking,"China, Nuevo leon.","Fracking is expanding in Nuevo Leon and it is bringing a lot of negative effects to the environment and several communities. Being more specific, fracking in one specific location is polluting the dam that supplies water to more than 5000 people. ",10,About one year,Report this issues directly to the SEMARNAT and demand answers. There is no easy way for solving this type of problems. ,,http://www.elhorizonte.mx/opinion/editorial/el-fracking-abusa-de-nuevo-leon/1935174,El fracking abusa de Nuevo LeA3n,1/1/2013
4/3/2018 17:56:21,,Fracking,"General Teran, Nuevo Leon.","Fracking is expanding in Nuevo Leon and it is bringing a lot of negative effects to the environment and several communities. Being more specific, fracking in one specific location is polluting the dam that supplies water to more than 5000 people. ",10,About one year,Report this issues directly to the SEMARNAT and demand answers. There is no easy way for solving this type of problems. ,,http://www.elhorizonte.mx/opinion/editorial/el-fracking-abusa-de-nuevo-leon/1935174,El fracking abusa de Nuevo LeA3n,1/1/2013
4/3/2018 17:56:21,,Fracking,"Pesqueria, Nuevo Leon.","Fracking is expanding in Nuevo Leon and it is bringing a lot of negative effects to the environment and several communities. Being more specific, fracking in one specific location is polluting the dam that supplies water to more than 5000 people. ",10,About one year,Report this issues directly to the SEMARNAT and demand answers. There is no easy way for solving this type of problems. ,,http://www.elhorizonte.mx/opinion/editorial/el-fracking-abusa-de-nuevo-leon/1935174,El fracking abusa de Nuevo LeA3n,1/1/2013
4/3/2018 22:53:44,,"Industrial belts (e.g, hazardous companies)","Salamanca, Guanajuato","Since the Plan Salamanca,  Conagua has inspected 135 companies between 2013-2017, with 50 inspections still pending. Then 254 fines were issued, equivalent to 35 million pesos, and 128 closures or suspensions were enforced. Many businesses have challenged the results, failing to pay their fines.",5,Longer than one year,-,,https://www.elsoldesalamanca.com.mx/local/congeladas-200-multas-a-empresas-contaminantes-1110767.html,Congeladas 200 multas a empresas contaminantes,
4/3/2018 23:09:43,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Infrastructure projects (e.g, oil and gas pipelines), Government repression","rancho Mena, ejido El Choropo, Mexicali, Baja California","Protesters from the movement Mexicali Resiste try to prevent the construction of an aqueduct for the beer company Constellation Brands, since they did not pay for the right to use the land and aim to privatize water. 60 police officers arrive and a violent fight where stones where throne on both sides breaks out, lasting 10 hours before the protesters resolved to leave.",6,"One week, it just emerged",-,,https://www.proceso.com.mx/519431/mexicali-la-violencia-por-la-disputa-del-agua,Mexicali: La violencia por la disputa del agua,
4/16/2018 14:43:40,,"Biomass and land conflicts (e.g, including deforestation and land grabs)","la meseta Purepecha, Michoacan","Michoacan faces the problem of deforestations and soil degradation, caused by illegal logglng and hunting, mining constructions, chemical use, and forest fires, by creating a campaign to reforest 19.4 thousand hectares (the federal government is responsible for 10 thousand of these). By mid-July of 2017, the have managed to plant 18,000 trees (8% of total)..",6,About one year,"In addition to reforestation, we need to enforce the laws that are in place to protect these environments.",,https://regeneracion.mx/avanza-campana-de-reforestacion-en-michoacan/,Avanza campaA+-a de reforestaciA3n en MichoacA!n,
4/16/2018 14:43:44,,"Biomass and land conflicts (e.g, including deforestation and land grabs)","Zona de la Reserva de la Mariposa Monarca, Michoacan","Michoacan faces the problem of deforestations and soil degradation, caused by illegal logglng and hunting, mining constructions, chemical use, and forest fires, by creating a campaign to reforest 19.4 thousand hectares (the federal government is responsible for 10 thousand of these). By mid-July of 2017, the have managed to plant 18,000 trees (8% of total)..",6,About one year,"In addition to reforestation, we need to enforce the laws that are in place to protect these environments.",,https://regeneracion.mx/avanza-campana-de-reforestacion-en-michoacan/,Avanza campaA+-a de reforestaciA3n en MichoacA!n,
4/16/2018 15:05:10,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Sahuayo, Michoacan","Air pollution created by the use of tires and industrial waste as combustible to produce brick. State authorities cannot do much to remedy the situation since most brick producers are in federal zones or ejidos, where they don't have jurisdiction. The costs of providing an alternative fuel are high.",6,Longer than one year,-,,http://www.cambiodemichoacan.com.mx/nota-n31049,"Sin resolverse, contaminaciA3n causada por la industria del ladrillo y la teja en Sahuayo ",
4/16/2018 15:12:54,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies)","Jicalan, Michoacan  (brick-makers along the Uruapan-San Juan Nuevo highway, alll the way to calle Alejandrina and the San Pablo lot)",As many as 70 rustic brick-making tires firms  are burning tires as cheap fuel. This is causing severe air pollution and releasing toxic chemicals that are known carcinogens.The municipal government has no power to ameliorate the situation.,7,Longer than one year,Need atention from federal and state authorities to provide technology or fuel that will prevent burning of tires.,,http://www.cdnoticias.com.mx/articulos/tremendo-foco-contaminacion-jicalan-ladrilleras-continuan-incinerando-llantas/medio-ambiente,Tremendo Foco de ContaminaciA3n en JicalA!n. Ladrilleras ContinAoan Incinerando Llantas.,
4/16/2018 15:17:22,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Planillas, Tlalpujahua, Michoacan",Profepa closes down three aluminium foundries for failure to comply with environmental standards upon inspection.,4,About one year,-,,http://www.cambiodemichoacan.com.mx/nota-n37669,ClausurA3 Profepa tres empresas fundidoras de aluminio en Tlalpujahua,2/1/2018
4/16/2018 15:26:51,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Huetamo, Michoacan","Upon inspection, the ProAm determined the open-air land fill does not meet the SEMARNAT's environmental standards: There are frequent internal fires, little to no recycling, and significant pollution.",8,,Municipal governments must be required to have proper waste management or otherwise face fines from federal and state governments.,,https://www.monitorexpresso.com/clausuraran-tiradero-basura-huetamo-michoacan-cumplir-normas/,"ClausurarA!n tiradero de basura de Huetamo, MichoacA!n por no cumplir con normas",2/10/2018
4/16/2018 15:36:55,,Biodiversity conservation conflicts,"carretera Piedad-Yurecuaro, comunidad Monteleon, Yurecuaro, Michoacan","The bodies of 300 sharks, many with their heads, fins, and internal organs removed, were dumped on the highway. Mexican law only protects and prohibits the fishing of the whale, white, and basking shark, while almost another 100 subspecies are over-exploited to sell fins to Asian markets. 60-270 million sharks are killed in commercial fishing annually.",4,Longer than one year,Manage the populations of all species by regulating fishing when necessary. ,https://drive.google.com/open?id=1zQTJjtpBtXb5XAEUOZj48kHhRwKBzZnH,https://www.elsiglodetorreon.com.mx/noticia/1425946.tiran-300-tiburones-en-michoacan.html,Tiran 300 tiburones en MichoacA!n,
4/16/2018 15:54:07,,"Biomass and land conflicts (e.g, including deforestation and land grabs)",Michoacan,"The avocado industry plants 160 thousand hectares, half in forests which has been deforested with impunity.",4,Longer than one year,-,,https://www.huffingtonpost.com.mx/2017/04/05/la-ambicion-de-los-aguacateros-esta-acabando-con-los-bosques-de_a_22026028/,La ambiciA3n de los aguacateros estA! acabando con los bosques de MichoacA!n,
4/16/2018 16:01:21,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Bosque la Primavera, Guadalajara, Jalisco",A forest fire causes severe air pollution; state of emergency declared to prevent people from being outside.,4,It just emerged,--,,http://www.excelsior.com.mx/nacional/suspenden-clases-en-4-municipios-de-jalisco-por-incendio-forestal/1231961,Suspenden clases en 4 municipios de Jalisco por incendio forestal,4/12/2018
4/16/2018 16:03:52,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Tala, Jalisco",Semadet activates atmospheric state of emergency because of a fire in a tire disposal site.,6,It just emerged,Better protocal for waste management.,,https://www.informador.mx/jalisco/Activan-Emergencia-Atmosferica-en-Tala-20180327-0116.html,Activan Emergencia AtmosfA(c)rica en Tala,3/27/2018
4/16/2018 16:10:04,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Congreso local, Tonala, Guadalajara, Jalisco",Talleres Acreditados Independiented and the neighbors of Tonala march to call attention to the 800 brick-making firms that which emit pollution and are linked to several cases of lung cancer and other respiratory problems.,7,Longer than one year,-,,https://www.proceso.com.mx/527059/marchan-contra-contaminacion-que-generan-ladrilleras-en-jalisco,Marchan contra contaminaciA3n que generan ladrilleras en Jalisco,
4/16/2018 16:14:22,,"Infrastructure projects (e.g, oil and gas pipelines)","Tlaquepaque, Jalisco","In response to sever air pollution emitted by brick-factories, Semadet has invested $300,000 MXN to install the first Brick Oven School in Tlaquepaque, which meets environmental standards.",7,It just emerged,Continue replacing highly polluting brick ovens with these if communities agree.,,https://www.informador.mx/jalisco/La-Semadet-instala-el-primer-Horno-Escuela-en-Tlaquepaque-20180325-0013.html,,3/25/2018
4/16/2018 16:23:31,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution","San Lucas Xolo, Tecamac, Estado de Mexico","Open air landfills that fail to meet environmental standards are causing bad odors and water and air pollution. The government does nothing despite many civilian complaints, since they use that area to store the dangerous waste from nearby municipalities.",7,Longer than one year,Enforce environmental standars; fine government for not doing anything.,,http://www.milenio.com/region/tecamac-contaminacion-basura-medio_ambiente-milenio-noticias_edomex_0_1060694060.html,Desechos solidos contaminan los cerros de Tecamac,
4/16/2018 16:32:19,,Water pollution,"Tezontepec de Aldama, Hidalgo",The contaminated soil from the Tula river - extracted in order to install a new refinery - is being used to refill the argicultural fields of the ejidos in Tezontepec de Aldama. This has a risk of contaminating subterranean water. Many fields are left unfilled.,8,It just emerged,-,,https://www.am.com.mx/2018/04/12/hidalgo/tula-tepeji/trasladan-contaminacion-del-rio-tula-a-tezontepec-de-aldama-457851,Trasladan contaminaciA3n del rAo Tula a Tezontepec de Aldama,
4/16/2018 16:37:04,,Water pollution,"laguna de Zupitlan, Hidalgo",A resident of Acatlan sends photo as proof that buses and trucks continuously dump diesel and other waste in the Zupitlan lagoon.,7,About one year,Prohibit dumping.,,http://www.criteriohidalgo.com/regiones/acusan-contaminacion-en-laguna-por-camiones,Acusan contaminacion en laguna por camiones,
4/16/2018 16:41:23,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies)","Tula-Jorobas, Parque Industrial Atitalaquia, 42970 Atitalaquia, Hgo., Mexico","Agrochemical firm, Clarimex, shut down for failure to comply with environmental standards and emitting air pollutants.",5,Longer than one year,-,,http://www.criteriohidalgo.com/regiones/por-incumplimiento-de-norma-ambiental-clausuran-carbonera,"Por incumplimiento de norma ambiental, clausuran carbonera",
4/17/2018 12:27:31,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Monterrey, Nuevo Leon. ",SIMA (Sistema Integral de Monitoreo Ambiental) is not putting the reading devices in locations where pollution is higher. They are putting these devices on places where pollution is lower than the average in the city. This is to report lower pollution numbers that the actual ones and possibly avoid problems. ,8,It just emerged,"I would either ask to have a true report of the pollution in Monterrey, otherwise start a private service of pollution monitoring. There is an application called ""Plume Air Report"" which offers the air quality in specific places. ",,http://www.milenio.com/region/sima-pedreras-industriales-contaminacion-nuevo_leon_0_1124887532.html,SIMA evade pedreras y zonas industriales,2/18/2018
4/17/2018 12:37:40,,Water pollution,"Alamedas de la Hacienda, Guadalupe, Nuevo Leon","Rio La Silla is polluted due to bad waste management. People from the community have reported this problem to ""Agua y Drenaje"" but still, nothing is getting done. Also, CONAGUA hasnt made anything on regards with this problem.   ",7,Longer than one year,"Continue reporting this problems to ""Agua y Drenaje"" and CONAGUA until something gets done. Also, identifying exactly where the waste is coming from would be a huge step to this problem.",,http://www.elhorizonte.mx/local/reportan-contaminacion-en-aguas-de-rio-la-silla/1843758,"Reportan contaminaciA3n en aguas de ""Rio la Silla""",8/12/2016
4/17/2018 14:18:20,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution, Damage to basic services infrastructure (e.g, leaking water)","rio Santiago, Mexico","The Santiago river continues to be one of the most contaminated rivers in the country given that, out of the 90 treatment plants meant to clean the river, 30 are not in use and 26 have been shut down. The Profepa has issued a recommendation requiring the states around the river to detect all the sites of pollution and provide a solution to this problem.",8,Longer than one year,Reduce pollution and get state authorities coordinated to provide a sustainable program and solution.,,https://www.informador.mx/Abandonan-plantas-para-sanear-rio-Santiago-l201711240003.html,Abandonan plantas para sanear rio Santiago,
4/17/2018 16:39:34,,Water pollution,"Tula del Rio, Guerrero","Leaders from at least 15 towns from the Zona del Alto Balsas file a complaint against federal and state authorities for failing to properly address the case of water pollution in the Balsas river, which suddenly turned a green color the past 13 of March. The state Secreteriat of Health held an investigation but did not release the results. Locals believe this negligence is due to an agreement between the government and contaminating businesses.",7,It just emerged,Government authorities must present findings of study and be transparent about their conflicting interests.,,https://www.digitalguerrero.com.mx/guerrero/pueblos-del-alto-balsas-presentan-queja-contra-dependencias-ambientales-por-no-atender-contaminacion-del-rio/,Pueblos del Alto Balsas presentan queja contra dependencias ambientales por no atender contaminacion del rio,3/13/2018
4/17/2018 16:46:32,,Water pollution,"Tula del Rio, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:18,,Water pollution,"San Juan Tololcitla , Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 17:09:06,,Water pollution,"Tomochi, Guerrero","Locals are worried for themselves and their livestock after the river Las AraA+-as, which flows into the town's well and provides the water they consume, was contaminated by a diesel spill in the kilometer 234 of the La Junta-Basaseachi road.",7,It just emerged,Clean the site and provide safe drinking water for town. Pay reparations for loss of livestock.,,https://www.elheraldodechihuahua.com.mx/local/region/derrame-de-diesel-en-rio-afectara-a-animales-silvestres-y-ganado-1578725.html,Derrame de diA(c)sel en rAo afectarA! a animales silvestres y ganado,3/30/2018
4/17/2018 17:20:18,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","San Luis Acatlan, Guerrero","Neighbors of the colonia La Mision in San Luis Acatlan, Guerrero protest and block the entrance to the landfill in light of the mayor's lack of attention to the open-air landfill that is a source of odors, disease (especially hepatitis), and pollution. They demand the relocation of the landfill and the enforcement of environmental standards.  ",8,Longer than one year,Concede to demands.,,https://www.digitalguerrero.com.mx/guerrero/impiden-vecinos-que-los-camiones-de-basura-lleguen-al-tiradero-a-cielo-abierto-se-quejan-de-enfermedades/,Impiden vecinos que los camiones de basura lleguen al tiradero a cielo abierto; se quejan de enfermedades,
4/17/2018 17:21:29,,Water pollution,"Carretera Monterrey Reynosa Km. 36.5, Cadereyta JimA(c)nez, N.L., Mexico",PEMEX refinery is releasing chemical wastes into Rio San Juan which directly affects people from Cadereyta. ,8,Longer than one year,"Continue to report this issue to the authorities even though that due to the magnitude of this problem, it is highly probable that it will take a lot of time to make something about it. ","https://drive.google.com/open?id=1MMFhp6QQfPGqcGsM42zzZsQLVGNJ0hQs, https://drive.google.com/open?id=1xv3vQXEBAn0wmri8pP583Fz4323rfv_s",http://www.elbarrioantiguo.com/contaminacion-persistente-en-cadereyta/,ContaminaciA3n persistente en Cadereyta,1/1/2015
4/17/2018 17:31:38,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Ecatepec, Estado de Mexico",Ecatepect registers 114 points in the System of Atmospheric Monitoring. Anything above 100 points is considered bad quality of air.,6,It just emerged,-,,https://noticieros.televisa.com/ultimas-noticias/hay-mala-calidad-aire-tres-municipios-estado-mexico-4/,Hay mala calidad del aire en tres municipios del Estado de MA(c)xico,3/21/2018
4/17/2018 17:32:49,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Coacalco, Estado de Mexico",Coacalco registers 101 points in the System of Atmospheric Monitoring. Anything above 100 points is considered bad quality of air.,4,It just emerged,-,,https://noticieros.televisa.com/ultimas-noticias/hay-mala-calidad-aire-tres-municipios-estado-mexico-4/,Hay mala calidad del aire en tres municipios del Estado de MA(c)xico,3/21/2018
4/17/2018 17:33:42,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Lack of environmental license ","El barrio de la soledad, Oaxaca","Cement company Cruz Azul did not had the emissions requirements, in consequence, they had their license removed by the government.",3,It just emerged,The government acted correctly and closed one facility of the cement processor. ,,http://eldiariodechihuahua.mx/Economia/2018/02/15/clausura-profepa-a-cementera-cruz-azul-en-oaxaca/,Clausura PROFEPA a cementera Cruz Azul,2/15/2018
4/17/2018 17:33:57,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Tepotzotlan, Estado de Mexico",Tepotzotlan registers 101 points in the System of Atmospheric Monitoring. Anything above 100 points is considered bad quality of air.,4,It just emerged,-,,https://noticieros.televisa.com/ultimas-noticias/hay-mala-calidad-aire-tres-municipios-estado-mexico-4/,Hay mala calidad del aire en tres municipios del Estado de MA(c)xico,3/21/2018
4/17/2018 17:43:10,,Land violation,"Union Hidalgo, Oaxaca.",Wind energy company used the land of a Zapoteca community to install their wind mills. They lied to the people in the community saying that they would get paid 50 thousand MXN pesos if they agreed. ,5,It just emerged,"This issue is difficult to resolve, since the wind company is already positioned over the land. What is important to do is be sure that this not happens again in other community. ",,https://www.lajornadamaya.mx/2018-02-17/Comunidad-zapoteca-denuncia-a-empresa-francesa-ante-la-OCDE,Comunidad zapoteca denuncia a empresa francesa ante la OCDE,2/12/2018
4/17/2018 17:50:35,,"Mining, Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies)","La Cruz creek, El Oro, Durango","The mining company Proyecto Magistral spilled 2,000 cubic meters of water with cyanide into the La Cruz creek.",8,Longer than one year,Fine company and clean river.,,http://www.jornada.unam.mx/2014/08/14/sociedad/038n1soc,Emergencia ambiental en Durango por mina que derramA3 cianuro,8/10/2014
