Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
3/12/2018 18:24:32,3/12/2018,"Industrial belts (e.g, hazardous companies)","Chihuahua y Ciudad Juarez, Chihuahua",State industry agency promotes sustainability projects in partnership with german GIZ,3,About one year,-,,https://www.20minutos.com.mx/noticia/308819/0/impulsan-en-industria-de-chihuahua-estrategias-alemanas/,Impulsan en industria de Chihuahua estrategias alemanas,
3/12/2018 18:28:53,3/12/2018,"Water pollution, Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)",municipality of Jimenez,"Wells poisoned with arsenic, public health threat. Overexploitation of water linked to corruption.",8,Longer than one year,"Complicated to attain and distribute water in this part of the country, a damn worsened matters. At least government should provide clean water to population and prevent further pollution.",,https://www.elheraldodechihuahua.com.mx/local/contaminacion-por-arsenico-en-pozos-de-jimenez-486879.html,ContaminaciA3n por arsA(c)nico en pozos de JimA(c)nez,
3/12/2018 18:56:21,3/12/2018,Mining,"Mexico City, Canadian embassy",Mexicans denounce Canadian mining companies' severe damages to populations and environment.,8,Longer than one year,Negligent officials should be brought to court; mining companies need to face stronger regulations and pay reparations.,,https://aristeguinoticias.com/1002/mundo/encubrimiento-sistematico-de-canada-a-violaciones-legales-de-sus-mineras-activistas/,Encubrimiento sistemA!tico de CanadA! a violaciones legales de sus mineras: activistas,
3/12/2018 18:58:01,3/12/2018,"Waste Management (e.g,landfills, superfund sites, pollution burning)",Mexico CIty,New law to separate trash saves money and spaced used in landfills,4,Longer than one year,Continue with regulation and education of population; also aim to reduce waste in general.,,http://www.eldiariodecoahuila.com.mx/nacional/2018/2/4/ahorran-millones-separar-residuos-710156.html,Ahorran millones por separar los residuos,
3/12/2018 19:18:27,3/12/2018,"Infrastructure projects (e.g, oil and gas pipelines)","Construction site of Biblioparque Poniente, Saltillo, Coahuila","Construction without permits or environmental impact report, damage to local flora and fauna.",6,About one year,Stop construction; make it sustainable if it cannot be relocated and make responsible party pay reparations.,,http://www.zocalo.com.mx/new_site/articulo/realiza-municipio-construccion-ilegal,Realiza municipio construccion ilegal,
3/12/2018 19:21:11,3/12/2018,Water pollution,Palo Blanco dam,"Mayor wants to certify local fisherman to supervise, protect, and promote environmental consciousness to regenerate the environment.",4,"One week, it just emerged",-,,https://www.vanguardia.com.mx/articulo/llevate-tu-basura,CertificarA! alcaldesa de Ramos Arizpes a lancheros de Palo Blanco para que mantengan limpia la presa,
3/12/2018 19:29:36,3/12/2018,"Water pollution, Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","colonia Saltillo 2000, Coahuila","Burning of tires, accumulation of trash, and pollution of nearby creek affect community. Government has not come to help despite several reports of damages. ",8,Longer than one year,Government needs to provide infrastructure for waste management and fuel to replace burning of tires.,,http://www.eldiariodecoahuila.com.mx/locales/inspector-urbano/2018/2/22/poca-vigilancia-llena-basura-714252.html,Poca vigilancia y llena de basura,
3/12/2018 19:36:33,3/12/2018,"Mining, Biomass and land conflicts (e.g, including deforestation and land grabs)","""Fase 4"" mining project,  Minatitlan, Colima",SEMARNAT authorizes iron mining; will destroy 128 hectares of forest.,8,About one year,Have companies mine somewhere without forest damage or have them pay for the replanting and reconstruction of such a habitat somewhere else.,,http://www.proceso.com.mx/520708/sin-consulta-de-por-medio-la-semarnat-autoriza-pena-colorada-la-extraccion-de-hierro-en-colima,"Sin consulta de por medio, la Semarnat autoriza a Pena Colorada la extraccion de hiero en Colima",1/9/2018
3/12/2018 19:39:56,3/12/2018,"Waste Management (e.g,landfills, superfund sites, pollution burning), Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","carretera Manzanillo-Minatitlan, near ejido Francisco Villa, Colima",Burning of tires and waste create high levels of pollution,8,"One week, it just emerged",Prevention of further similar cases,,http://www.colimanoticias.com/quema-de-llantas-en-patio-de-la-zona-industrial-provoca-grave-contaminacion/,Quema de llantas en patio de la zona industrial provoca grave contaminaciA3n,12/8/2017
3/12/2018 19:57:43,3/12/2018,"Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)",,"Community protest permit granted to cyanide plant, Chemours Co, without their permission, and which would pose serious environmental and health risks..",8,About one year,Revoke permit,,http://www.eluniversal.com.mx/estados/protestan-en-durango-contra-planta-de-cianuro-de-sodio,Protestan en Durango contra planta de cianuro de sodio,8/20/2017
